FECHA,IDC,ACTIVIDAD ECONOMICA,EDAD,SALARIO,FFNN,MONTO_ACUMULADO_DOL_ACH,FRECUENCIA_ACH,MONTO_USD_DOL_PCC,CANTIDAD_PCC,NRO_ORDENANTES_DIFERENTES
202006,00000355PE,0,36,2397,1,4346.209905,13,0,0,8
202006,00000630PE,1,38,552,0,1991.428569,5,0,0,5
202006,00000966PE,2,44,5720,0,31908.35276,13,0,0,7
202006,00010633PE,3,37,10000,1,13380.30612,8,0,0,6
202006,00014392PE,4,58,2500,1,24828.27988,2,0,0,2
202006,00014883PE,5,47,3890,0,4518.950437,1,0,0,1
202006,00015096PE,6,49,1000,0,3675.510201,8,0,0,7
202006,00015302PE,7,38,437,1,826.093286,15,0,0,11
202006,00016181PE,8,43,5000,1,5058.61766,24,0,0,16
202006,00016576PE,9,45,4000,1,5505.160347,5,0,0,4
202006,00016949PE,10,29,1000,0,2355.830885,37,0,0,25
202006,00017130PE,11,32,3068,1,12648.11077,32,0,0,14
202006,00017525PE,12,26,250,0,510.160339,17,0,0,7
202006,00025241PE,13,33,400,0,1608.746351,7,0,0,5
202006,00026151PE,14,43,2000,0,22266.76385,6,0,0,5
202006,00027045PE,15,39,400,0,1938.775506,8,0,0,4
202006,00027212PE,16,41,2155,0,98542.27405,5,0,0,1
202006,00027251PE,17,38,1000,0,1276.239064,6,0,0,4
202006,00027617PE,18,35,700,0,1253.644313,4,0,0,4
202006,00027985PE,19,31,3000,0,3759.0379,3,0,0,1
202006,00028029PE,20,49,8997,1,18286.27086,36,0,0,17
202006,00030495PE,21,25,300,0,315.291543,5,0,0,5
202006,00030657CB,22,31,1000,0,1229.59183,10,0,0,8
202006,00030921PE,23,30,300,0,352.915446,10,0,0,3
202006,00031152PE,24,39,502,0,3024.190957,12,0,0,11
202006,00031242PE,25,47,2000,0,10391.2828,8,0,0,7
202006,00031298PE,26,54,1000,0,1498.542271,6,0,0,4
202006,00031452LP,27,34,400,0,2289.212822,11,0,0,5
202006,00032925PE,28,37,750,0,784.629733,9,0,0,2
202006,00033492PE,29,33,365,0,668.075799,7,0,0,5
202006,00034127PE,30,53,3013,1,5899.999998,4,0,0,4
202006,00035871PE,31,32,426,0,3463.233232,8,0,0,3
202006,00036941PE,32,28,500,0,1109.110785,4,0,0,4
202006,00041390PE,33,38,3551,1,26304.09765,36,0,0,32
202006,00041442PE,34,67,1200,0,1491.918357,17,0,0,15
202006,00042264PE,35,66,2800,1,4857.160347,4,0,0,4
202006,00042428PE,36,40,300,0,457.320697,4,0,0,3
202006,00042491PE,37,39,300,0,342.565597,2,0,0,2
202006,00042721PE,38,35,500,0,579.189503,3,0,0,3
202006,00042747PE,39,43,1000,0,1859.766759,12,0,0,11
202006,00044867PE,40,48,300,0,2016.241972,18,0,0,9
202006,00045047PE,41,35,250,0,344.825068,11,0,0,9
202006,00045381PE,42,31,330,0,1609.329443,5,0,0,5
202006,00045504PE,43,40,350,0,728.862972,3,0,0,2
202006,00046939PE,44,28,771,0,3821.615149,18,0,0,5
202006,00059392LP,45,71,1000,1,48695.65305,26,0,0,24
202006,00061164PE,46,36,803,0,3635.276965,6,0,0,2
202006,00065538PE,47,47,2000,0,2011.04956,5,0,0,4
202006,00068474PE,48,41,450,0,1846.501453,11,0,0,10
202006,00068773PE,49,51,5102,1,7550.448973,15,0,0,12
202006,00068789PE,50,32,250,0,766.416899,18,0,0,9
202006,00068803PE,51,39,500,0,515.306114,16,0,0,7
202006,00070176PE,52,36,800,0,1449.562681,5,0,0,4
202006,00080670LP,53,81,1000,0,10321.3338,45,0,0,19
202006,00113561LP,54,70,1000,0,1457.725947,1,0,0,1
202006,00114891LP,55,62,500,0,603.061224,2,0,0,2
202006,00122916LP,56,63,1500,0,41040.81632,8,13223.03207,1,4
202006,00122924LP,57,62,800,0,2915.451894,3,0,0,1
202006,00123919LP,58,68,500,0,1330.393582,8,0,0,8
202006,00136222LP,59,68,1000,0,1554.763846,5,0,0,5
202006,00137066LP,60,68,365,0,1486.880464,4,0,0,3
202006,00137267LP,61,66,12844,0,17416.44315,3,0,0,2
202006,00164696LP,62,76,1968,1,3644.314868,1,0,0,1
202006,00166584LP,63,64,2000,1,4266.180755,7,0,0,6
202006,00169428LP,64,80,3793,1,5172.543708,42,0,0,27
202006,00172603LP,65,64,925,0,3071.081629,8,0,0,7
202006,00178361LP,66,60,450,0,621.282798,1,0,0,1
